deck_id,card_id
37,26000000
42,26000000
47,26000000
71,26000000
105,26000000
115,26000000
126,26000000
135,26000000
145,26000000
153,26000000
159,26000000
164,26000000
165,26000000
166,26000000
167,26000000
183,26000000
187,26000000
188,26000000
192,26000000
193,26000000
197,26000000
198,26000000
199,26000000
201,26000000
202,26000000
207,26000000
209,26000000
210,26000000
213,26000000
225,26000000
226,26000000
230,26000000
232,26000000
233,26000000
234,26000000
235,26000000
237,26000000
239,26000000
241,26000000
245,26000000
256,26000000
257,26000000
262,26000000
271,26000000
272,26000000
274,26000000
276,26000000
277,26000000
282,26000000
283,26000000
285,26000000
289,26000000
290,26000000
295,26000000
298,26000000
301,26000000
302,26000000
305,26000000
307,26000000
310,26000000
313,26000000
314,26000000
316,26000000
317,26000000
319,26000000
321,26000000
323,26000000
326,26000000
328,26000000
329,26000000
334,26000000
339,26000000
342,26000000
344,26000000
345,26000000
348,26000000
355,26000000
356,26000000
360,26000000
373,26000000
378,26000000
379,26000000
382,26000000
383,26000000
389,26000000
391,26000000
393,26000000
395,26000000
397,26000000
399,26000000
401,26000000
402,26000000
409,26000000
420,26000000
421,26000000
423,26000000
424,26000000
448,26000000
452,26000000
454,26000000
456,26000000
460,26000000
461,26000000
462,26000000
484,26000000
504,26000000
508,26000000
509,26000000
511,26000000
513,26000000
516,26000000
521,26000000
528,26000000
530,26000000
535,26000000
536,26000000
539,26000000
540,26000000
541,26000000
543,26000000
544,26000000
552,26000000
558,26000000
559,26000000
560,26000000
561,26000000
563,26000000
571,26000000
577,26000000
578,26000000
589,26000000
624,26000000
628,26000000
629,26000000
633,26000000
640,26000000
651,26000000
670,26000000
673,26000000
675,26000000
694,26000000
701,26000000
702,26000000
718,26000000
721,26000000
724,26000000
735,26000000
750,26000000
752,26000000
754,26000000
761,26000000
774,26000000
777,26000000
780,26000000
786,26000000
787,26000000
795,26000000
797,26000000
804,26000000
809,26000000
811,26000000
812,26000000
813,26000000
826,26000000
827,26000000
829,26000000
833,26000000
840,26000000
848,26000000
850,26000000
851,26000000
870,26000000
871,26000000
877,26000000
879,26000000
882,26000000
902,26000000
906,26000000
915,26000000
927,26000000
936,26000000
941,26000000
954,26000000
956,26000000
962,26000000
967,26000000
981,26000000
990,26000000
1003,26000000
1005,26000000
1012,26000000
1028,26000000
1036,26000000
1040,26000000
1048,26000000
1063,26000000
1064,26000000
1067,26000000
1070,26000000
1079,26000000
1081,26000000
1084,26000000
1085,26000000
1096,26000000
1101,26000000
1119,26000000
1129,26000000
1137,26000000
1138,26000000
1140,26000000
1151,26000000
1152,26000000
1153,26000000
1156,26000000
1170,26000000
1182,26000000
1183,26000000
1189,26000000
1192,26000000
1196,26000000
1197,26000000
1201,26000000
1202,26000000
1204,26000000
1210,26000000
1221,26000000
1235,26000000
1236,26000000
1246,26000000
1250,26000000
1252,26000000
1254,26000000
1270,26000000
1271,26000000
1274,26000000
1280,26000000
1285,26000000
1310,26000000
1319,26000000
1321,26000000
1332,26000000
1337,26000000
1354,26000000
1355,26000000
1356,26000000
1358,26000000
1365,26000000
1373,26000000
1374,26000000
1379,26000000
1385,26000000
1387,26000000
1389,26000000
1402,26000000
1409,26000000
1417,26000000
1432,26000000
1436,26000000
1437,26000000
1440,26000000
1446,26000000
1456,26000000
1457,26000000
1465,26000000
1466,26000000
1467,26000000
1476,26000000
1477,26000000
1479,26000000
1492,26000000
1494,26000000
