battle_id,battle_type,game_mode,arena_name,is_ladder
052fcfad625ba0f7f79756624ecf4862,trail,TeamVsTeam,Legendary Arena,0
057109a28329e881f351a40a8f3fea35,tournament,Tournament,PANCAKES!,0
0587d2d1e7411dbff2ec95167359661f,tournament,Draft_Competitive,Silent Sanctuary,0
058b6d8268838006168299406e9a1ea1,pathOfLegend,Ranked1v1_NewArena2,Legendary Arena,0
05a718b9e08abace841b62bbfa612048,trail,Showdown_Friendly,Legendary Arena,0
05aabc262c211d3ac056aaebda2732ce,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
05feb58e251e2c64b33833ada5441191,tournament,DraftMode,Spell Valley,0
06141dae81fb307a28787c970e2691f9,friendly,Friendly,PANCAKES!,0
06226f5985cc400ca6234ea8b75b2dcc,PvP,Ladder,Lumberlove Cabin,1
06324c6ddd5465fa84855c73cfa4d4b8,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
065eb2b072bfd64db8e87cf723d3e920,PvP,Ladder,Serenity Peak,1
067309a7549320193c0c7c97aea13fe2,tournament,TripleElixir_Tournament,Valkalla,0
06a68da63e44b98b8020786207233dff,trail,Ladder,Seasonal Arena 1,0
06bb010ca8fb35057c9f1c129d4001f5,tournament,DraftModeInsane,Barbarian Bowl,0
06c4725080cf75686a501e4cd9c980cf,PvP,Ladder,Royal Crypt,1
06cc96f1d8b5a69e32d237bd36ee7e98,tournament,TripleElixir_Tournament,Bone Pit,0
06d727927a35c21546d9d5dafe1e1d20,tournament,DraftMode,P.E.K.K.A's Playhouse,0
0706369832e23592e4e55ac90a4b7331,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0707bd884210bb880665086f40f7b1ff,tournament,PickMode,Electro Valley,0
0718fd67fac4378de21d9847400ccee2,PvP,Ladder,Lumberlove Cabin,1
0719ff7edb942de0fa49576e9b58fce4,PvP,Ladder,Clash Fest,1
0729dae9536b1b937e04be2580a93f9a,trail,Ladder,Seasonal Arena 4,0
073f59a981c7b088758c5d7fd5333b8a,pathOfLegend,Ranked1v1_NewArena,Legendary Arena,0
0740d4185013cd678bd5d050bb75c5ad,tournament,TripleElixir_Tournament,Boot Camp,0
075c9061b9c63ab372cf87041ca7ee05,PvP,Ladder,Executioner's Kitchen,1
076825f91b486d7a5e6ee04158f86652,tournament,DraftModeInsane,Frozen Peak,0
07793b2c2868d39c8863972850ae621b,PvP,Ladder,Lumberlove Cabin,1
0779bbd500dd8743f812a5b08ca1faa8,PvP,Ladder,Lumberlove Cabin,1
078b93f5af3f184da38206f1839775ff,PvP,Ladder,Lumberlove Cabin,1
079bf83eee04435f0133ac637f2aabc2,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
07a28c04d4db9fab73a49c596229fd65,trail,Showdown_Friendly,Legendary Arena,0
07a48cb06b1b8d2a9c3225d1258639e4,trail,Showdown_Friendly,Legendary Arena,0
07aa08ba0a48bb2f58822aeb157ed80d,tournament,Tournament,Valkalla,0
07bf3cbe4002035738fd748c75541bb1,PvP,Ladder,Spooky Town,1
07d7d4db3f13546b45f0180bae8d37e1,tournament,TripleElixir_Tournament,Electro Valley,0
07e12d9cfe02b8bedfb99f6950eb0910,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
07e9e1af205745373f90686b76a315f7,tournament,TripleElixir_Tournament,Goblin Stadium,0
07ed769daadeb9f33e7e37c043d0e8a3,trail,Challenge_AllCards_EventDeck_NoSet,Legendary Arena,0
07ee745e718a446e520b117b7ffec70b,PvP,Ladder,Lumberlove Cabin,1
08032d3c915adab835aee5bba70acedc,tournament,Draft_Competitive,Executioner's Kitchen,0
0838db8cb73ad2865046cc0c6aff4963,tournament,TripleElixir_Tournament,Rascal's Hideout,0
0870f892f98e131e78cf02012bdc0506,trail,Ladder,Seasonal Arena 5,0
087ac5e3f2161c5882a4659b3c5a69d2,PvP,Ladder,Lumberlove Cabin,1
08849a6d1ab5109f5f10562e770cd5ec,PvP,Ladder,Lumberlove Cabin,1
088540e3fabd55359206506476b57a05,PvP,Ladder,Royal Crypt,1
08883d44894c8788198bcd1883f2a287,tournament,TripleElixir_Tournament,Boot Camp,0
0890dcd2c200588d37f8ada1ff26eec0,PvP,Ladder,Executioner's Kitchen,1
08a8d36d92fd6d70f7925240baac304f,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
08ab838d17ef01609975cce966339d72,tournament,TripleElixir_Tournament,Barbarian Bowl,0
08cfda8fe74a0273108b4b86003e1e83,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
08e8e0b0bb8f746fc386a1d380aec43a,tournament,Draft_Competitive,Lumberlove Cabin,0
08fd939e69c26fe25a2003d934489212,PvP,Ladder,Lumberlove Cabin,1
09021980b88a754eb51deb83e3f709e9,PvP,Ladder,Lumberlove Cabin,1
091e9c3d88dad6bfd8fa9caaec66b883,tournament,Draft_Competitive,Hog Mountain,0
0935eba5db0771662a20f493285abcc5,friendly,Friendly,PANCAKES!,0
09426bbe8d0e003a32dc479517e15169,tournament,TripleElixir_Tournament,Boot Camp,0
0991ddaf58a34b216f58c1a54e6eb021,PvP,Ladder,P.E.K.K.A's Playhouse,1
099d8ad2200f37cccbb70dbe3157d1fe,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
09bb733052a7e43ab81197960f216f56,trail,TeamVsTeam,Legendary Arena,0
09ccbfb3d9a25db75b4090e8117d785b,friendly,PickMode,Legendary Arena,0
09e21035fbacd011f3aaad4e20c410fb,tournament,TripleElixir_Tournament,Valkalla,0
09efd11a570d06f83d9bfd6b00306c4b,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0a039644f62603777c82f5bd66b0c841,PvP,Ladder,Lumberlove Cabin,1
0a176b510c21cb497875c78192541157,trail,Ladder,Seasonal Arena 2,0
