snapshot_id,deck_id,games_played,games_won,win_rate,pick_rate
1,1180,1,0,0.00,0.06
1,1181,1,0,0.00,0.06
1,1182,1,1,100.00,0.06
1,1195,1,0,0.00,0.06
1,1196,1,0,0.00,0.06
1,1197,1,0,0.00,0.06
1,1198,1,1,100.00,0.06
1,1199,1,0,0.00,0.06
1,1200,1,0,0.00,0.06
1,1201,1,1,100.00,0.06
1,1202,1,1,100.00,0.06
1,1203,1,1,100.00,0.06
1,1204,1,1,100.00,0.06
1,1205,1,1,100.00,0.06
1,1206,1,1,100.00,0.06
1,1207,1,0,0.00,0.06
1,1220,1,1,100.00,0.06
1,1254,1,1,100.00,0.06
1,1255,1,1,100.00,0.06
1,1256,1,1,100.00,0.06
1,1269,2,1,50.00,0.12
1,1270,1,1,100.00,0.06
1,1271,2,1,50.00,0.12
1,1272,2,1,50.00,0.12
1,1273,1,0,0.00,0.06
1,1350,1,1,100.00,0.06
1,1351,1,0,0.00,0.06
1,1352,1,1,100.00,0.06
1,1353,1,1,100.00,0.06
1,1354,1,1,100.00,0.06
1,1355,1,1,100.00,0.06
1,1356,1,0,0.00,0.06
1,1357,1,0,0.00,0.06
1,1358,1,1,100.00,0.06
1,1359,1,1,100.00,0.06
1,1360,1,0,0.00,0.06
1,1361,1,1,100.00,0.06
1,1362,1,0,0.00,0.06
1,1363,1,1,100.00,0.06
1,1364,1,1,100.00,0.06
1,1365,1,0,0.00,0.06
1,1366,1,0,0.00,0.06
1,1367,1,1,100.00,0.06
1,1368,1,1,100.00,0.06
1,1369,1,1,100.00,0.06
1,1370,1,1,100.00,0.06
1,1388,19,13,68.42,1.15
1,1398,1,0,0.00,0.06
1,1399,1,0,0.00,0.06
1,1400,1,0,0.00,0.06
1,1401,1,0,0.00,0.06
1,1402,1,1,100.00,0.06
1,1403,1,0,0.00,0.06
1,1404,1,1,100.00,0.06
1,1405,1,0,0.00,0.06
1,1406,1,0,0.00,0.06
1,1407,1,1,100.00,0.06
1,1408,1,1,100.00,0.06
1,1409,1,0,0.00,0.06
1,1410,1,1,100.00,0.06
1,1411,1,1,100.00,0.06
1,1412,1,0,0.00,0.06
1,1413,1,0,0.00,0.06
1,1414,1,0,0.00,0.06
1,1415,1,0,0.00,0.06
1,1416,1,0,0.00,0.06
1,1417,1,1,100.00,0.06
1,1418,1,0,0.00,0.06
1,1427,1,0,0.00,0.06
1,1428,2,0,0.00,0.12
1,1429,1,1,100.00,0.06
1,1439,1,0,0.00,0.06
1,1440,8,7,87.50,0.48
1,1441,1,0,0.00,0.06
1,1442,1,0,0.00,0.06
1,1443,1,0,0.00,0.06
1,1444,1,0,0.00,0.06
1,1445,1,1,100.00,0.06
1,1461,1,0,0.00,0.06
1,1462,1,1,100.00,0.06
1,1463,1,1,100.00,0.06
1,1464,1,0,0.00,0.06
1,1467,1,0,0.00,0.06
1,1468,1,1,100.00,0.06
1,1475,1,1,100.00,0.06
1,1476,1,0,0.00,0.06
1,1503,1,0,0.00,0.06
1,1504,1,1,100.00,0.06
1,1513,1,0,0.00,0.06
1,1515,1,1,100.00,0.06
1,1516,1,1,100.00,0.06
1,1517,1,1,100.00,0.06
1,1518,1,0,0.00,0.06
1,1519,1,0,0.00,0.06
1,1522,1,0,0.00,0.06
1,1523,1,1,100.00,0.06
1,1524,1,1,100.00,0.06
1,1525,1,0,0.00,0.06
1,1554,1,0,0.00,0.06
1,1595,2,1,50.00,0.12
1,1597,1,0,0.00,0.06
1,1598,1,1,100.00,0.06
1,1618,1,1,100.00,0.06
1,1626,2,0,0.00,0.12
1,1638,3,0,0.00,0.18
1,1702,1,1,100.00,0.06
1,1703,1,1,100.00,0.06
1,1710,1,1,100.00,0.06
1,1711,1,0,0.00,0.06
1,1712,2,1,50.00,0.12
1,1713,3,1,33.33,0.18
1,1714,1,1,100.00,0.06
1,1715,1,1,100.00,0.06
1,1716,2,0,0.00,0.12
1,1717,1,0,0.00,0.06
1,1718,1,1,100.00,0.06
1,1719,1,1,100.00,0.06
1,1720,1,0,0.00,0.06
1,1721,1,1,100.00,0.06
1,1722,1,0,0.00,0.06
1,1726,3,2,66.67,0.18
1,1727,3,1,33.33,0.18
1,1740,1,0,0.00,0.06
1,1741,1,1,100.00,0.06
1,1745,2,0,0.00,0.12
1,1746,1,0,0.00,0.06
1,1754,1,1,100.00,0.06
1,1760,1,1,100.00,0.06
1,1761,1,1,100.00,0.06
1,1762,1,0,0.00,0.06
1,1763,11,5,45.45,0.67
1,1764,1,1,100.00,0.06
1,1765,1,0,0.00,0.06
1,1766,1,1,100.00,0.06
1,1767,1,0,0.00,0.06
1,1768,1,1,100.00,0.06
1,1769,1,1,100.00,0.06
1,1770,1,0,0.00,0.06
1,1771,1,0,0.00,0.06
1,1772,1,1,100.00,0.06
1,1773,5,3,60.00,0.30
1,1774,1,1,100.00,0.06
1,1775,1,0,0.00,0.06
1,1776,1,0,0.00,0.06
1,1777,1,0,0.00,0.06
1,1778,3,1,33.33,0.18
1,1779,1,1,100.00,0.06
1,1780,1,1,100.00,0.06
1,1781,1,0,0.00,0.06
1,1782,2,0,0.00,0.12
1,1783,1,1,100.00,0.06
1,1784,1,1,100.00,0.06
1,1785,1,0,0.00,0.06
1,1786,2,1,50.00,0.12
1,1787,1,0,0.00,0.06
1,1788,1,1,100.00,0.06
1,1789,1,0,0.00,0.06
1,1790,1,1,100.00,0.06
1,1791,1,0,0.00,0.06
1,1792,1,1,100.00,0.06
1,1793,1,0,0.00,0.06
1,1794,2,1,50.00,0.12
1,1809,1,0,0.00,0.06
1,1831,1,1,100.00,0.06
1,1875,2,1,50.00,0.12
1,1876,1,0,0.00,0.06
1,1877,2,1,50.00,0.12
1,1890,1,0,0.00,0.06
1,1891,1,0,0.00,0.06
1,1892,1,1,100.00,0.06
1,1893,1,0,0.00,0.06
1,1894,1,0,0.00,0.06
1,1895,1,1,100.00,0.06
1,1921,1,0,0.00,0.06
1,1922,1,0,0.00,0.06
1,1923,1,0,0.00,0.06
1,1924,1,1,100.00,0.06
1,1925,1,0,0.00,0.06
1,1926,1,1,100.00,0.06
1,1927,1,1,100.00,0.06
1,1928,1,0,0.00,0.06
1,1929,1,0,0.00,0.06
1,1930,11,9,81.82,0.67
1,1931,1,0,0.00,0.06
1,1932,1,0,0.00,0.06
1,1933,1,0,0.00,0.06
1,1934,1,1,100.00,0.06
1,1935,1,0,0.00,0.06
1,1936,1,0,0.00,0.06
1,1937,1,0,0.00,0.06
1,1938,1,0,0.00,0.06
1,1939,1,0,0.00,0.06
1,1940,1,1,100.00,0.06
1,1941,1,0,0.00,0.06
1,1942,1,1,100.00,0.06
1,1943,1,1,100.00,0.06
1,1944,4,2,50.00,0.24
1,1945,1,1,100.00,0.06
1,1946,1,0,0.00,0.06
1,1947,1,1,100.00,0.06
1,1948,1,0,0.00,0.06
1,1960,1,1,100.00,0.06
1,1961,1,0,0.00,0.06
1,1995,2,2,100.00,0.12
1,2000,21,8,38.10,1.27
1,2001,1,1,100.00,0.06
1,2002,1,0,0.00,0.06
1,2003,1,1,100.00,0.06
1,2010,1,1,100.00,0.06
1,2011,1,1,100.00,0.06
1,2012,1,0,0.00,0.06
1,2016,1,1,100.00,0.06
1,2017,1,1,100.00,0.06
1,2018,1,1,100.00,0.06
1,2019,1,1,100.00,0.06
1,2020,1,0,0.00,0.06
1,2021,1,1,100.00,0.06
1,2022,1,0,0.00,0.06
1,2023,1,1,100.00,0.06
1,2024,1,1,100.00,0.06
1,2025,3,1,33.33,0.18
1,2026,1,0,0.00,0.06
1,2027,1,1,100.00,0.06
1,2028,1,0,0.00,0.06
1,2032,1,0,0.00,0.06
1,2036,1,0,0.00,0.06
1,2046,1,0,0.00,0.06
1,2047,1,0,0.00,0.06
1,2048,1,1,100.00,0.06
1,2049,1,0,0.00,0.06
1,2066,1,0,0.00,0.06
1,2067,1,1,100.00,0.06
1,2068,1,1,100.00,0.06
